"Name","State","Notes","User","Tags","Created","Runtime","Sweep","accuracy/train","accuracy/val","epoch","learning_rate","loss/train","loss/val","test/acc","test/loss","train/acc","train/loss","val/acc","val/loss","data.data_dir","data.file_path","data.kaggle_dataset","data.label_map.contradiction","data.label_map.entailment","data.label_map.neutral","data.test_size","data.val_size","model.checkpoint_dir","model.distilbert","model.dropout_rate","model.freeze_strategy","model.lora.bias","model.lora.lora_alpha","model.lora.lora_dropout","model.lora.r","model.lora.target_modules","model.max_len","model.model_type","model.name","model.num_frozen_layers","model.save_local","model.use_lora","training.batch_size","training.dropout_rate","training.early_stopping_patience","training.learning_rate","training.max_grad_norm","training.num_epochs","training.warmup_ratio","training.weight_decay","test/misclassification_rate","test/num_misclassifications","gpu/avg_epoch_time_sec","gpu/avg_throughput_samples_per_sec","gpu/epoch_time_sec","gpu/memory_gb","gpu/peak_memory_gb","gpu/throughput_samples_per_sec","gpu/total_training_time_sec"
"Stanford_deberta_xxl_partial_finetune","finished","-","","Stanford, deberta-xxl, large-scale, partial-finetune","2025-11-28T02:19:39.000Z","19367","","0.3606184794932338","0.3326719697107596","1","0.00003","1.084523364843332","1.0994117346598011","0.3326810710450152","1.0994123106134042","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","partial","","","","","","256","bert","microsoft/deberta-v2-xxlarge","8","false","false","4","0.5","5","0.00003","1","1","0.1","0.1","0.6673189289549848","73321","14453.814953565598","26.60584774576308","14453.814953565598","10.795310592","10.795310592","26.60584774576308","14453.814953565598"
"Stanford_deberta_xxl_lora_r8","finished","-","","Stanford, deberta-xxl, large-scale, lora, r=8","2025-11-27T18:51:59.000Z","26841","","0.35763321856894703","0.33345468445674137","1","0.0001","1.095207854761438","1.1018062555620702","0.33345468445674137","1.1018034868060864","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""query_proj"",""value_proj""]","256","bert","microsoft/deberta-v2-xxlarge","","false","true","4","0.5","5","0.0001","1","1","0.1","0.1","0.6665453155432587","73236","21695.27506685257","17.725334148334873","21695.27506685257","19.66381824","19.66381824","17.725334148334873","21695.27506685257"
"Stanford_deberta_xxl_lora_r8","crashed","-","","Stanford, deberta-xxl, large-scale, lora, r=8","2025-11-26T12:32:06.000Z","15421","","","","","","","","","","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""query_proj"",""value_proj""]","256","bert","microsoft/deberta-v2-xxlarge","","false","true","4","0.5","5","0.0001","1","3","0.1","0.1","","","","","","","","",""
"Stanford_deberta_xxl_lora_r8","crashed","-","","Stanford, deberta-xxl, large-scale, lora, r=8","2025-11-26T11:46:02.000Z","2701","","","","","","","","","","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""query_proj"",""value_proj""]","256","bert","microsoft/deberta-v2-xxlarge","","false","true","4","0.5","5","0.0001","1","3","0.1","0.1","","","","","","","","",""
"Stanford_bert_partial_finetune","finished","-","","Stanford, bert, partial-finetune","2025-11-24T18:02:46.000Z","3073","","0.8355220045975098","0.8494275260753227","3","0.00003","0.44359939302958507","0.41787731851804755","0.8498279847825692","0.41513260769016","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","partial","","","","","","256","bert","bert-base-uncased","2","false","false","8","0.5","5","0.00003","1","3","0.1","0.1","0.15017201521743087","16500","855.2607692082723","449.6364262725861","854.8971269130707","0.885466112","0.885466112","449.8272223566651","2565.782307624817"
"Stanford_bert_lora_r8","finished","-","","Stanford, bert, lora, r=8","2025-11-24T16:41:58.000Z","4833","","0.8415133296580992","0.8528860330924514","3","0.0001","0.4346025629724816","0.4325777298222194","0.8519941023354024","0.433817086097268","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""query"",""value""]","256","bert","bert-base-uncased","","false","true","8","0.5","5","0.0001","1","3","0.1","0.1","0.14800589766459762","16262","1423.4374328454337","270.17831261388005","1440.0062334537506","1.568318976","1.568318976","267.0516217681019","4270.312298536301"
"Stanford_distilbert_partial_finetune","finished","-","","Stanford, distilbert, partial-finetune","2025-11-24T00:27:09.000Z","1649","","0.7927714039047629","0.8080346578808454","3","0.00005","0.5185164598554532","0.4837994038929984","0.811220124870306","0.48283771206781273","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","partial","","","","","","256","distilbert","distilbert-base-uncased","1","false","false","13","0.5","5","0.00005","1","3","0.1","0.1","0.188779875129694","20742","449.15344580014545","856.1799376775989","448.7703375816345","0.642086912","0.642086912","856.9104679964427","1347.4603374004364"
"Stanford_distilbert_lora_r8","finished","-","","Stanford, distilbert, lora, r=8","2025-11-23T23:44:03.000Z","2572","","0.8177014531043593","0.8335365964650417","3","0.0001","0.4796951565126316","0.451306439797439","0.8348016819265704","0.4479377209424191","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""q_lin"",""v_lin""]","256","distilbert","distilbert-base-uncased","","false","true","8","0.5","5","0.0001","1","3","0.1","0.1","0.16519831807342958","18151","745.89470744133","515.5634268686559","746.1588492393494","0.873968128","0.873968128","515.3808741825213","2237.68412232399"
"Stanford_bert_partial_finetune","finished","-","","Stanford, bert, partial-finetune","2025-11-23T22:57:51.000Z","2758","","0.8320972758193865","0.8455321550139251","3","0.00003","0.43493020323220893","0.4119657789107779","0.8463603764311848","0.40990139137614856","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","partial","","","","","","256","bert","bert-base-uncased","2","false","false","18","0.5","5","0.00003","1","3","0.1","0.1","0.1536396235688152","16881","764.8713545799255","502.7771209549215","766.4504461288452","1.204319232","1.204319232","501.7362856820018","2294.6140637397766"
"Stanford_bert_lora_r8","finished","-","","Stanford, bert, lora, r=8","2025-11-23T21:24:17.000Z","5599","","0.8387517032629838","0.8523945610426489","3","0.0001","0.4593172846716764","0.44991113788226456","0.8521670276862588","0.45171742642305","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""query"",""value""]","256","bert","bert-base-uncased","","false","true","6","0.5","5","0.0001","1","3","0.1","0.1","0.1478329723137412","16243","1652.4457581837971","232.7193232466099","1651.583796262741","1.316128256","1.316128256","232.8407440604504","4957.337274551392"
